term,coef,se,p,model
Intercept,4.860416772344925,1.3596430443262106,0.00035053038443405804,A_full
C(gndr)[T.2],0.0426513083484029,0.04379227435804504,0.33008337580479574,A_full
C(eisced)[T.2],0.10534511084551738,0.11358145077257153,0.35367468960456716,A_full
C(eisced)[T.3],0.412191929747943,0.21206777565859763,0.05193403165618441,A_full
C(eisced)[T.4],0.34919532371871476,0.125748810540026,0.0054875426381144855,A_full
C(eisced)[T.5],0.7074768528544876,0.12292919135397247,8.656107209201785e-09,A_full
C(eisced)[T.6],0.8985621710975756,0.13235503083507633,1.1289058178427147e-11,A_full
C(eisced)[T.7],1.0855557903744433,0.12307794406903702,1.1439061125704574e-18,A_full
C(eisced)[T.55],0.634555543022068,0.20555215702821644,0.0020213454547395662,A_full
C(eisced)[T.77],-0.2475719323613796,0.5719552062756419,0.6651223219107637,A_full
C(eisced)[T.88],-0.2456442875454063,0.23419064257288316,0.294220759923454,A_full
C(eisced)[T.99],-0.3014897660650624,0.34196097329228126,0.377966306850699,A_full
gini,-0.04546085912205528,0.035309994147842416,0.19792755058725686,A_full
gdp_pps,0.011778056660241095,0.004248607567265487,0.005567612754088562,A_full
agea,-0.0005220656520502986,0.00018047060448425807,0.003818224098049448,A_full
Intercept,7.422525991569396,1.3840037264328573,8.181367274454356e-08,B_no_gdp
C(gndr)[T.2],0.03137875568805619,0.04429695451691448,0.4787138072742415,B_no_gdp
C(eisced)[T.2],0.06500134706008917,0.13507421468264935,0.6303552366944623,B_no_gdp
C(eisced)[T.3],0.35488694653067804,0.2538402251520486,0.16209140538592026,B_no_gdp
C(eisced)[T.4],0.17176203065330667,0.1501562609774628,0.252669851820044,B_no_gdp
C(eisced)[T.5],0.7876961764236493,0.15475108286465986,3.579029132281442e-07,B_no_gdp
C(eisced)[T.6],0.891429376993076,0.16168671598501483,3.5214235139367015e-08,B_no_gdp
C(eisced)[T.7],1.074585497143635,0.1513195729365284,1.2347170685684128e-12,B_no_gdp
C(eisced)[T.55],0.6645573794207004,0.2595785934490549,0.010463019042638614,B_no_gdp
C(eisced)[T.77],-0.309216776057271,0.5485061900819997,0.572928737324471,B_no_gdp
C(eisced)[T.88],-0.24694370262178955,0.2615917316926815,0.34516748401553377,B_no_gdp
C(eisced)[T.99],-0.6040149851324624,0.31719557897042105,0.05687955996443113,B_no_gdp
gini,-0.08902718555887348,0.04458320163012175,0.045838508169097535,B_no_gdp
agea,-0.0006084226987951502,0.00015971696212889678,0.00013931535769233248,B_no_gdp
Intercept,-1.3302752137396627,2.2588131179199085,0.5559104879910657,C_log_gdp
C(gndr)[T.2],0.04627099821440904,0.042124285581006976,0.2720124250525413,C_log_gdp
C(eisced)[T.2],0.12483578483022242,0.11235098643640665,0.26651533346873024,C_log_gdp
C(eisced)[T.3],0.41694336735440496,0.19838448227678682,0.035580137560919524,C_log_gdp
C(eisced)[T.4],0.406712074757131,0.11428951989605031,0.00037281958658668773,C_log_gdp
C(eisced)[T.5],0.7094547627076968,0.12372250528456202,9.79495063928514e-09,C_log_gdp
C(eisced)[T.6],0.9235804197933508,0.12659396118268407,2.9730458168326843e-13,C_log_gdp
C(eisced)[T.7],1.0924534506283217,0.11640198207331959,6.280959634898935e-21,C_log_gdp
C(eisced)[T.55],0.5975262461826496,0.19828717497913537,0.0025830522174970587,C_log_gdp
C(eisced)[T.77],-0.21267440384003966,0.5976622509089543,0.721957548805398,C_log_gdp
C(eisced)[T.88],-0.24186078595161242,0.22967305559471668,0.29231094381833633,C_log_gdp
C(eisced)[T.99],-0.264864197328112,0.354970139992614,0.45557131654114624,C_log_gdp
gini,-0.033984496342505936,0.030560131464661588,0.2661152158836413,C_log_gdp
log_gdp,1.5373577242024645,0.360636578197119,2.0179069972308693e-05,C_log_gdp
agea,-0.0004621914713019698,0.000178410252491594,0.009580586160225113,C_log_gdp
const,4.759059311749297,1.2545242627049615,0.001063271781509442,D_country
gini,-0.03070846592593962,0.0363031365673423,0.4071497276744951,D_country
gdp_pps,0.013705746634478436,0.0037280665533618016,0.0014047554483828373,D_country
const,-1.961748147727545,2.3914709420398483,0.42125338675184676,E_country_log
gini,-0.020622440443612583,0.03440791045958203,0.5553501448046246,E_country_log
log_gdp,1.7117434460452903,0.39769715876386164,0.00031397083153324477,E_country_log
